dataset,image_path,mse,ssim
Chilli_Leaves,unknown_0,0.11400358378887177,0.34520411491394043
Chilli_Leaves,unknown_1,0.104093998670578,0.3490067720413208
Chilli_Leaves,unknown_2,0.08996501564979553,0.30650243163108826
Chilli_Leaves,unknown_3,0.09320951998233795,0.3807733952999115
Chilli_Leaves,unknown_4,0.06790448725223541,0.4164775609970093
Chilli_Leaves,unknown_5,0.2015497237443924,0.2359178066253662
Chilli_Leaves,unknown_6,0.08308567106723785,0.395198255777359
Chilli_Leaves,unknown_7,0.0965588316321373,0.34732183814048767
Chilli_Leaves,unknown_8,0.13338616490364075,0.3176187574863434
Chilli_Leaves,unknown_9,0.0990544855594635,0.31608593463897705
Chilli_Leaves,unknown_10,0.11098281294107437,0.2753952741622925
Chilli_Leaves,unknown_11,0.0940031185746193,0.3345212936401367
Chilli_Leaves,unknown_12,0.10759029537439346,0.2748934328556061
Chilli_Leaves,unknown_13,0.20357060432434082,0.17912162840366364
Chilli_Leaves,unknown_14,0.094593346118927,0.3700523376464844
Chilli_Leaves,unknown_15,0.11214683204889297,0.31530091166496277
Chilli_Leaves,unknown_0,0.13979195058345795,0.27256712317466736
Chilli_Leaves,unknown_1,0.10824013501405716,0.2863416373729706
Chilli_Leaves,unknown_2,0.1400863379240036,0.31066998839378357
Chilli_Leaves,unknown_3,0.11851723492145538,0.30417394638061523
Chilli_Leaves,unknown_4,0.13614702224731445,0.345773309469223
Chilli_Leaves,unknown_5,0.09183342009782791,0.33423784375190735
Chilli_Leaves,unknown_6,0.11820629239082336,0.2921472489833832
Chilli_Leaves,unknown_7,0.11820629239082336,0.2921472489833832
Chilli_Leaves,unknown_8,0.17889536917209625,0.23515023291110992
Chilli_Leaves,unknown_9,0.09102114289999008,0.34586092829704285
Chilli_Leaves,unknown_10,0.08356408029794693,0.3308706283569336
Chilli_Leaves,unknown_11,0.20939302444458008,0.22123807668685913
Chilli_Leaves,unknown_12,0.1259094923734665,0.30916011333465576
Chilli_Leaves,unknown_13,0.10241080075502396,0.30436477065086365
Chilli_Leaves,unknown_14,0.2159498631954193,0.22268807888031006
Chilli_Leaves,unknown_15,0.2133888453245163,0.23958133161067963
Chilli_Leaves,unknown_0,0.08512815088033676,0.36426496505737305
Chilli_Leaves,unknown_1,0.18210655450820923,0.22595705091953278
Chilli_Leaves,unknown_2,0.18323491513729095,0.20554514229297638
Chilli_Leaves,unknown_3,0.10498719662427902,0.29822206497192383
Chilli_Leaves,unknown_4,0.09020411968231201,0.32328611612319946
Chilli_Leaves,unknown_5,0.108940988779068,0.28440406918525696
Chilli_Leaves,unknown_6,0.17080844938755035,0.2446144074201584
Chilli_Leaves,unknown_7,0.13768413662910461,0.3051553964614868
Chilli_Leaves,unknown_8,0.15252141654491425,0.2946404218673706
Chilli_Leaves,unknown_9,0.13535840809345245,0.2808663845062256
Chilli_Leaves,unknown_10,0.16468803584575653,0.2762657701969147
Chilli_Leaves,unknown_11,0.1456538885831833,0.25528112053871155
Chilli_Leaves,unknown_12,0.1275731772184372,0.3157687187194824
Chilli_Leaves,unknown_13,0.1508658230304718,0.2831110656261444
Chilli_Leaves,unknown_14,0.12207207083702087,0.33095839619636536
Chilli_Leaves,unknown_15,0.09627128392457962,0.35992375016212463
Chilli_Leaves,unknown_0,0.07988860458135605,0.3417796790599823
Chilli_Leaves,unknown_1,0.16792720556259155,0.26846060156822205
Chilli_Leaves,unknown_2,0.15070153772830963,0.2502555549144745
Chilli_Leaves,unknown_3,0.18266600370407104,0.2702163755893707
Chilli_Leaves,unknown_4,0.1113983541727066,0.29359591007232666
Chilli_Leaves,unknown_5,0.11608640849590302,0.32139119505882263
Chilli_Leaves,unknown_6,0.134757861495018,0.3095608055591583
Chilli_Leaves,unknown_7,0.12491028010845184,0.30209246277809143
Chilli_Leaves,unknown_8,0.13090871274471283,0.30623313784599304
Chilli_Leaves,unknown_9,0.1341525763273239,0.3097005784511566
Chilli_Leaves,unknown_10,0.15910181403160095,0.29068607091903687
Chilli_Leaves,unknown_11,0.12851254642009735,0.26778724789619446
Chilli_Leaves,unknown_12,0.0804431289434433,0.35207509994506836
Chilli_Leaves,unknown_13,0.14498063921928406,0.2831437885761261
Chilli_Leaves,unknown_14,0.11820364743471146,0.33219707012176514
Chilli_Leaves,unknown_15,0.13622157275676727,0.3112669289112091
Chilli_Leaves,unknown_0,0.14052173495292664,0.3050948977470398
Chilli_Leaves,unknown_1,0.08690737187862396,0.3504749536514282
Chilli_Leaves,unknown_2,0.08789519220590591,0.330099493265152
Chilli_Leaves,unknown_3,0.14561721682548523,0.26129648089408875
Chilli_Leaves,unknown_4,0.1445612758398056,0.26254311203956604
Chilli_Leaves,unknown_5,0.15071143209934235,0.2494664043188095
Chilli_Leaves,unknown_6,0.06738439202308655,0.3447088301181793
Chilli_Leaves,unknown_7,0.09970656782388687,0.32504698634147644
Chilli_Leaves,unknown_8,0.18858152627944946,0.2582964599132538
Chilli_Leaves,unknown_9,0.16995938122272491,0.2775766849517822
Chilli_Leaves,unknown_10,0.11720964312553406,0.30938246846199036
Chilli_Leaves,unknown_11,0.14394424855709076,0.3101707398891449
Chilli_Leaves,unknown_12,0.08110746741294861,0.37653788924217224
Chilli_Leaves,unknown_13,0.09656703472137451,0.30082306265830994
Chilli_Leaves,unknown_14,0.12238172441720963,0.321155846118927
Chilli_Leaves,unknown_15,0.1648331731557846,0.22665901482105255
Chilli_Leaves,unknown_0,0.16897760331630707,0.27304741740226746
Chilli_Leaves,unknown_1,0.11523313820362091,0.29998502135276794
Chilli_Leaves,unknown_2,0.16981932520866394,0.23584270477294922
Chilli_Leaves,unknown_3,0.15267595648765564,0.2771371901035309
Chilli_Leaves,unknown_4,0.08186621218919754,0.33679890632629395
